mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-151b,NM_005902,SMAD3,3382,3398,0.958241758242,-21.2,1,5.873029e-06,0.5,1.2546498666666668,0.5868827975,-4.906073086755913,14,16,8,3UTR,,0,0
hsa-miR-151b,XM_024450296,PDPK1,4480,4514,0.961538461538,-23.2,1,9.011965e-07,0.353,0.0,0.0,-3.937574446201665,16,19,10,3UTR,,0,0
hsa-miR-151b,NM_001258450,PKMYT1,1865,1881,0.961538461538,-20.4,1,1.202289e-06,0.353,0.0,0.0,-8.82806429066934,14,16,8,3UTR,,0,0
hsa-miR-151b,NM_004203,PKMYT1,2072,2088,0.961538461538,-20.4,1,1.202289e-06,0.353,0.0,0.0,-8.82806429066934,14,16,8,3UTR,,0,0
hsa-miR-151b,NM_001031711,ERGIC1,2183,2196,0.961538461538,-17.6,1,0.03735737,0.426,-0.47030514285714287,0.08631591500000002,-9.02428166311082,12,13,12,3UTR,MIRT762887,0,1
hsa-miR-151b,NM_145655,GCNT2,3356,3392,0.961538461538,-17.5,1,0.0002583804,0.441,0.0,0.0,-11.13885194640897,12,14,12,3UTR,,0,0
hsa-miR-151b,NM_014971,EFR3B,6431,6449,0.961538461538,-21.6,1,8.605008e-08,0.397,-0.46390016,-0.20725177124999997,-7.102971249558938,14,18,10,3UTR,,0,0
hsa-miR-151b,NM_002437,MPV17,755,776,0.961538461538,-19.5,1,0.01596475,0.588,3.1212681666666664,2.1723956125,-8.82806429066934,15,21,10,3UTR,,0,0
hsa-miR-151b,XM_006711977,FOSL2,4807,4824,0.961538461538,-22.6,1,0.0001627532,0.426,0.0,0.0,-6.5006872542436085,14,17,8,3UTR,,0,0
hsa-miR-151b,NM_003607,CDC42BPA,7277,7293,0.961538461538,-19.8,1,2.799022e-06,0.5,2.727478090909091,4.0479595725,-5.813840636892696,15,16,15,3UTR,,0,0
hsa-miR-151b,NM_001330691,CEP78,5479,5493,0.961538461538,-20.7,1,0.0002081784,0.574,-0.4177251111111111,0.11199101000000002,-8.303804028968646,13,14,13,3UTR,,0,0
hsa-miR-151b,NM_001330693,CEP78,5431,5445,0.961538461538,-20.7,1,0.0002081784,0.574,-0.4177251111111111,0.11199101000000002,-8.303804028968646,13,14,13,3UTR,,0,0
hsa-miR-151b,NM_014720,SLK,5226,5259,0.961538461538,-19.6,1,0.03203515,0.691,0.8078726781250001,0.7772088037500001,-4.95700071937229,16,33,11,3UTR,,0,0
